id,success_loan,failed_loans,income
340.0,1.0,1.0,220000.00
341.0,1.0,1.0,420000.00
343.0,2.0,0.0,420000.00
344.0,4.0,2.0,490000.00
345.0,11.0,0.0,230000.00
346.0,1.0,0.0,350000.00
347.0,7.0,2.0,250000.00
348.0,2.0,0.0,350000.00
349.0,2.0,0.0,600000.00
351.0,3.0,0.0,200000.00
352.0,1.0,1.0,149997.00
353.0,3.0,0.0,250000.00
355.0,1.0,0.0,275000.00
357.0,2.0,0.0,900000.00
358.0,0.0,1.0,300000.00
359.0,4.0,0.0,900000.00
360.0,7.0,1.0,300000.00
361.0,3.0,2.0,700000.00
363.0,2.0,1.0,800000.00
365.0,2.0,1.0,400000.00
366.0,8.0,1.0,290000.00
369.0,0.0,0.0,450000.00
370.0,2.0,0.0,200000.00
371.0,2.0,0.0,250000.00
372.0,4.0,0.0,600000.00
373.0,3.0,0.0,249997.00
374.0,1.0,1.0,150000.00
377.0,1.0,0.0,350000.00
378.0,1.0,0.0,150000.00
379.0,7.0,1.0,500000.00
380.0,10.0,0.0,220000.00
381.0,1.0,0.0,300000.00
382.0,2.0,0.0,300000.00
383.0,7.0,0.0,400000.00
385.0,2.0,1.0,200000.00
386.0,2.0,0.0,350000.00
387.0,3.0,0.0,500000.00
388.0,3.0,0.0,250000.00
389.0,5.0,0.0,200000.00
390.0,6.0,1.0,150000.00
392.0,1.0,0.0,200000.00
393.0,1.0,0.0,3000000.00
394.0,2.0,0.0,400000.00
395.0,0.0,1.0,550000.00
396.0,6.0,1.0,410000.00
397.0,3.0,0.0,390000.00
398.0,1.0,1.0,400000.00
399.0,8.0,2.0,300000.00
400.0,3.0,1.0,300000.00
401.0,2.0,0.0,200000.00
404.0,0.0,0.0,200000.00
405.0,6.0,6.0,250000.00
406.0,1.0,0.0,200000.00
407.0,2.0,0.0,250000.00
408.0,2.0,0.0,250000.00
409.0,2.0,0.0,400000.00
410.0,7.0,1.0,410000.00
411.0,10.0,3.0,300000.00
412.0,2.0,0.0,300000.00
413.0,2.0,0.0,300000.00
414.0,2.0,0.0,250000.00
415.0,3.0,1.0,250000.00
416.0,2.0,0.0,200000.00
417.0,1.0,1.0,300000.00
418.0,18.0,1.0,350000.00
419.0,7.0,0.0,250000.00
420.0,1.0,0.0,400000.00
421.0,3.0,1.0,200000.00
422.0,1.0,0.0,200000.00
423.0,7.0,0.0,500000.00
424.0,3.0,0.0,250000.00
426.0,1.0,1.0,500000.00
427.0,3.0,0.0,600000.00
428.0,1.0,0.0,400001.00
429.0,1.0,0.0,250000.00
431.0,0.0,1.0,300000.00
432.0,1.0,0.0,600000.00
433.0,1.0,0.0,500000.00
434.0,3.0,0.0,300000.00
435.0,1.0,0.0,350000.00
436.0,3.0,0.0,250000.00
437.0,1.0,0.0,250000.00
438.0,1.0,0.0,300000.00
439.0,8.0,1.0,400000.00
440.0,1.0,0.0,300000.00
441.0,14.0,1.0,200000.00
442.0,1.0,0.0,400000.00
443.0,1.0,0.0,199999.00
445.0,4.0,1.0,300000.00
446.0,1.0,0.0,350000.00
447.0,1.0,0.0,500000.00
448.0,10.0,1.0,400000.00
449.0,0.0,1.0,500000.00
450.0,1.0,0.0,300000.00
451.0,1.0,0.0,350000.00
452.0,2.0,0.0,250000.00
453.0,4.0,1.0,250000.00
454.0,6.0,0.0,420000.00
455.0,1.0,0.0,250000.00
456.0,6.0,2.0,700000.00
457.0,1.0,0.0,500000.00
460.0,3.0,0.0,250000.00
